"","Specie","Final","Key"
"1","Tunidos (Fresco)","Disponibilidad Interna de Tunidos (Fresco) , 1988-2013","Volumen; Disponibilidad; Interna; Fresco; Congelado; Enlatado; Reduccion; Tunidos (Fresco)"
"2","Mojarra","Disponibilidad Interna de Mojarra , 1988-2013","Volumen; Disponibilidad; Interna; Fresco; Congelado; Enlatado; Reduccion; Mojarra"
"3","Camaron","Disponibilidad Interna de Camaron , 1988-2013","Volumen; Disponibilidad; Interna; Fresco; Congelado; Enlatado; Reduccion; Camaron"
"4","Ostion","Disponibilidad Interna de Ostion , 1988-2013","Volumen; Disponibilidad; Interna; Fresco; Congelado; Enlatado; Reduccion; Ostion"
"5","Tiburon y Cazon","Disponibilidad Interna de Tiburon y Cazon , 1988-2013","Volumen; Disponibilidad; Interna; Fresco; Congelado; Enlatado; Reduccion; Tiburon y Cazon"
"6","Otros","Disponibilidad Interna de Otros , 1988-2013","Volumen; Disponibilidad; Interna; Fresco; Congelado; Enlatado; Reduccion; Otros"
"7","Tunidos (Enlatado)","Disponibilidad Interna de Tunidos (Enlatado) , 1988-2013","Volumen; Disponibilidad; Interna; Fresco; Congelado; Enlatado; Reduccion; Tunidos (Enlatado)"
"8","Sardinas","Disponibilidad Interna de Sardinas , 1988-2013","Volumen; Disponibilidad; Interna; Fresco; Congelado; Enlatado; Reduccion; Sardinas"
"9","Harina y Aceite","Disponibilidad Interna de Harina y Aceite , 1988-2013","Volumen; Disponibilidad; Interna; Fresco; Congelado; Enlatado; Reduccion; Harina y Aceite"
"10","Total","Disponibilidad Interna de Total , 1988-2013","Volumen; Disponibilidad; Interna; Fresco; Congelado; Enlatado; Reduccion; Total"
